Species,ScientificName,Year,Hours,Herbicide,Treatment area/inf.acres,Treatment area m2,Treatment size/stems,Treatment size/kg,Notes
ACEGIN,Acer ginnala,2008,0.17,1,,,3,,"Many seedlings found, but not managed"
ACEGIN,Acer ginnala,2009,1.5,,,0.25,163,,Hand Pull?
ACEGIN,Acer ginnala,2010,3.3,,,400,28,,Hand Pull
ACEGIN,Acer ginnala,2011,3.75,,,50,169,,Hand Pull
ACEGIN,Acer ginnala,2015,0,,0.001,,,,"Herb, hours unavailable, check datasheet 8/31/15 - Great Meadow"
ACEGIN,Acer ginnala,2016,0,,0.0016,,,,"Herb, hours unavailable, check datasheet 8/23/16 - Great Meadow"
ACEPLA,Acer platanoides,2018,47.25,11.75,0.3801234,,,,
ALLPET,Alliaria petiolata,2003,21,,,,789,,Many plants removed were not counted.
ALLPET,Alliaria petiolata,2004,48.45,,,,19563,,
ALLPET,Alliaria petiolata,2005,36.75,,,,8875,,
ALLPET,Alliaria petiolata,2006,41.69,,,,31376,,
ALLPET,Alliaria petiolata,2007,6.5,,,,777,,
ALLPET,Alliaria petiolata,2008,55.8,,,,10418,,
ALLPET,Alliaria petiolata,2009,70,,,7330,52271,,Figures taken from ApCam table
ALLPET,Alliaria petiolata,2010,324.6,,,2576,66092,,Hand Pull
ALLPET,Alliaria petiolata,2011,61.5,,,1781,30000,,Hand Pull
ALLPET,Alliaria petiolata,2012,43.25,,,541294,,,
ALLPET,Alliaria petiolata,2013,62,,0.0414715,,,,
ALLPET,Alliaria petiolata,2014,74.5,,0.5916375,,,,
ALLPET,Alliaria petiolata,2015,91.75,15.36,0.11651,,,,"All Work hours for hand pull of 0.11626 inf. Ac., some foliar treatment of 0.00025 inf. Ac. At Stanley Brook. "
ALLPET,Alliaria petiolata,2016,96,0.18,0.08204,,,,
ALLPET,Alliaria petiolata,2017,49.5,,0.014935,,,,
ALLPET,Alliaria petiolata,2018,104,0,0.050022,,,,
ARCMIN,,2017,0,0,0.0012,,,,
ARCMIN,,2018,0.1,0,0.003361,,,,
BERTHU,Berberis thunbergii,2010,66,16.2,,4730,,,
BERTHU,Berberis thunbergii,2011,226,168,,3666,,,
BERTHU,Berberis thunbergii,2013,115.25,157.825,0.016025,,,,
BERTHU,Berberis thunbergii,2014,87.75,91.225,0.846204,,,,
BERTHU,Berberis thunbergii,2015,47.5,46.74,0.2025,,,,
BERTHU,Berberis thunbergii,2016,112.25,80.565,0.2034,,,,
BERTHU,Berberis thunbergii,2017,81.25,81.715,0.256444,,,,
BERTHU,Berberis thunbergii,2018,104.75,62.556,0.149402,,,,Includes BERVUL
CARIMP,,2018,12,0,0.021052,,,,
CELORB,Celastrus orbiculatus,2010,191.7,154.1,,5250,,,
CELORB,Celastrus orbiculatus,2011,363,223,,20211,,,
CELORB,Celastrus orbiculatus,2013,115.95,132.845,0.2247,,,,
CELORB,Celastrus orbiculatus,2014,103.75,56.935,1.0729525,,,,
CELORB,Celastrus orbiculatus,2015,178.75,106.96,0.90971,,,,
CELORB,Celastrus orbiculatus,2016,55.17,26.44,0.10568,,,,
CELORB,Celastrus orbiculatus,2017,141.25,76.64,0.159002,,,,
CELORB,Celastrus orbiculatus,2018,117.54,60.608,0.396229,,,,
CENSTO,,2017,1.5,0,0.000733,,,,
CENSTO,,2018,3.25,1.5,0.008512,,,,
CIRSPP,Cirsium spp.,2011,23,5,0,,,,
CIRSPP,Cirsium spp.,2013,125.25,32.53,0.0039,,,,
CIRSPP,Cirsium spp.,2014,112.25,10.08,0.2464,,,,
CIRSPP,Cirsium spp.,2015,131.67,10.65,0.19683,,,,
CIRSPP,Cirsium spp.,2016,97.5,24.25,0.0735,,,,
CIRSPP,Cirsium spp.,2017,79.75,4.63175,0.104644,,,,
CIRSPP,Cirsium spp.,2018,149.25,4.09525,0.178194,,,,
DIGPUR,,2003,1,,,,360,,
DIGPUR,,2004,4.5,,,,3249,,
DIGPUR,,2005,3.55,,,,864,,
DIGPUR,,2006,11.66,,,,5709,,
DIGPUR,,2007,2.5,,,,2493,,
DIGPUR,,2008,22.75,,,,1172,,
DIGPUR,,2009,1,,,20,29,,
DIGPUR,,2010,3.75,,,1233,5,,Hand Pull
DIGPUR,,2011,1.6,,,13,142,,
DIGPUR,,2015,0,,0.0044,,,,
DIGPUR,,2018,0,0,0.00021,,,,
ELAUMB,,2014,0,0,0.0024,,,,
ELAUMB,,2018,0.5,0,0.002663,,,,
EUOALA,,2014,0,0,0.03675,,,,
EUOALA,,2015,0,,0.008,,,,
EUOALA,,2016,23.5,4.605,0.0793,,,,
EUOALA,,2017,0,0.05,0.00135,,,,
EUOALA,,2018,0,0,0.022655,,,,
FALJAP,Fallopia japonica,2003,2.75,1.15,,,519,,some additional plants mechanically removed
FALJAP,Fallopia japonica,2009,161,513,,4598,8157,,
FALJAP,Fallopia japonica,2010,99.5,243.3,,,3776,,
FALJAP,Fallopia japonica,2011,38,32.6,,11480,,,
FALJAP,Fallopia japonica,2013,44.25,54.94875,0.02929,,,,
FALJAP,Fallopia japonica,2014,31.5,50.18,0.543235,,,,
FALJAP,Fallopia japonica,2015,42.25,134.71,0.60141,,,,
FALJAP,Fallopia japonica,2016,38.08,60.65,0.08322,,,,
FALJAP,Fallopia japonica,2017,61.5,17.725,0.116821,,,,
FALJAP,Fallopia japonica,2018,43.16,2.053,0.054719,,,,
FRAALN,Frangula alnus,2008,40.5,112,,,1164,,100% Garlon 3A + 1.5% glyphosate
FRAALN,Frangula alnus,2009,102,54.28,,,10815,,
FRAALN,Frangula alnus,2010,590,680.1,,485832,,,amount of herbicide not available
FRAALN,Frangula alnus,2011,1015,705,,333690,,,
FRAALN,Frangula alnus,2012,247.5,438,3.219,,,,
FRAALN,Frangula alnus,2013,370.25,625.725,0.612575,,,,
FRAALN,Frangula alnus,2014,1426.75,808.915,3.97802,,,,
FRAALN,Frangula alnus,2015,664.5,443.365,3.05502,,,,
